timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
11970,0.0000,0.0016,0.9785,-0.0313,0.0283,-0.0358,idle
12021,0.0000,0.0034,0.9827,-0.0212,0.0099,-0.0852,idle
12072,0.0000,0.0031,0.9845,0.0190,-0.0064,-0.0881,idle
12123,0.0000,0.0038,0.9869,-0.0023,0.0707,-0.0660,idle
12174,0.0000,0.0026,0.9833,0.0203,0.0194,-0.0926,idle
12225,0.0000,0.0018,0.9804,0.0522,-0.0232,-0.0695,idle
12276,0.0000,0.0007,0.9782,0.0105,-0.0145,-0.0145,idle
12327,0.0000,0.0005,0.9815,-0.0121,-0.0809,0.0967,idle
12378,0.0000,-0.0008,0.9775,-0.0852,0.0829,-0.2738,idle
12429,0.0000,-0.0013,0.9792,-0.1238,0.1207,-0.2588,idle
12480,0.0000,-0.0014,0.9758,-0.0448,0.1815,-0.2239,idle
12531,0.0000,-0.0003,0.9739,-0.1007,0.1477,-0.1365,idle
12582,0.0000,-0.0012,0.9796,-0.0461,0.0612,-0.0558,idle
12633,0.0000,-0.0013,0.9818,-0.0788,0.0896,-0.0890,idle
12684,0.0000,-0.0002,0.9827,-0.0516,0.0635,-0.1522,idle
12735,0.0000,-0.0005,0.9873,0.0512,0.0381,-0.0821,idle
12786,0.0000,-0.0003,0.9887,0.0204,0.0085,-0.0795,idle
12837,0.0000,0.0004,0.9869,0.0568,-0.0105,0.0264,idle
12888,0.0000,0.0002,0.9896,0.0554,-0.0364,0.0913,idle
12939,0.0000,-0.0013,0.9927,0.0436,-0.0327,0.0668,idle
12990,0.0000,-0.0009,0.9903,0.0388,0.0069,0.0946,idle
13041,0.0000,0.0003,0.9878,0.0166,0.0599,-0.0389,idle
13092,0.0000,-0.0005,0.9880,-0.0287,0.0779,-0.1320,idle
13143,0.0000,-0.0007,0.9882,-0.0175,0.1061,-0.1362,idle
13194,0.0000,0.0007,0.9877,0.0219,0.0401,-0.0312,idle
13245,0.0000,0.0001,0.9834,0.0489,-0.0204,-0.0296,idle
13296,0.0000,0.0003,0.9775,0.3163,0.0320,0.0831,idle
13347,0.0000,-0.0006,0.9821,0.2706,-0.0039,0.0771,idle
13398,0.0000,-0.0003,0.9872,0.1868,-0.0373,0.0921,idle
13449,0.0000,-0.0008,0.9897,0.0877,-0.0120,0.1240,idle
13500,0.0000,-0.0011,0.9861,0.0297,0.0982,0.0381,idle
13551,0.0000,-0.0008,0.9863,0.0582,0.0903,0.0716,idle
13602,0.0000,0.0011,0.9930,0.0367,0.0579,-0.1184,idle
13653,0.0000,0.0005,0.9934,0.2302,0.0153,0.1617,idle
13704,0.0000,-0.0003,0.9934,0.1605,-0.0433,0.2850,idle
13755,0.0000,0.0009,0.9904,0.0346,-0.1023,0.3257,idle
13806,0.0000,0.0019,0.9920,0.1201,-0.1450,0.2727,idle
13857,0.0000,0.0011,0.9855,0.1595,-0.1196,0.3173,idle
13908,0.0000,-0.0006,0.9868,0.0933,-0.1008,0.3973,idle
13959,0.0000,-0.0003,0.9810,0.0098,0.0043,0.2368,idle
14010,0.0000,-0.0011,0.9856,0.0239,-0.0108,0.1558,idle
14061,0.0000,-0.0013,0.9794,-0.0518,0.0229,0.0391,idle
14112,0.0000,-0.0009,0.9744,-0.1276,0.0040,-0.0314,idle
14163,0.0000,-0.0005,0.9766,-0.0051,-0.0279,0.0007,idle
14214,0.0000,-0.0000,0.9819,0.0716,-0.0045,0.0463,idle
14265,0.0000,0.0003,0.9827,0.1756,-0.0606,0.2416,idle
14316,0.0000,-0.0014,0.9808,0.1154,-0.0017,0.2222,idle
14367,0.0000,-0.0011,0.9782,0.0733,0.0057,0.1609,idle
14418,0.0000,-0.0016,0.9832,0.0823,0.0804,0.0813,idle
14469,0.0000,-0.0022,0.9820,0.0652,0.1233,0.0741,idle
14520,0.0000,-0.0026,0.9831,0.0102,0.1851,-0.0034,idle
14571,0.0000,-0.0026,0.9799,-0.0506,0.2346,-0.1142,idle
14622,0.0000,-0.0016,0.9809,-0.0915,0.1520,-0.1174,idle
14673,0.0000,-0.0000,0.9829,0.0070,0.0554,-0.1062,idle
14724,0.0000,-0.0001,0.9853,0.0721,0.0346,-0.0637,idle
14775,0.0000,-0.0001,0.9808,0.0890,0.0119,0.0452,idle
14826,0.0000,-0.0003,0.9811,0.1987,-0.0002,0.1765,idle
14877,0.0000,0.0002,0.9808,0.2041,0.0192,0.2053,idle
14928,0.0000,-0.0009,0.9796,0.1442,-0.0234,0.1794,idle
14979,0.0000,-0.0005,0.9855,0.0689,-0.0253,0.1465,idle
15030,0.0000,-0.0013,0.9855,0.0468,0.0464,0.0270,idle
15081,0.0000,-0.0016,0.9896,0.0352,0.0320,-0.1128,idle
15132,0.0000,-0.0017,0.9886,0.0259,-0.0085,-0.0247,idle
15183,0.0000,-0.0011,0.9935,0.0124,-0.0211,-0.0824,idle
15234,0.0000,-0.0007,0.9943,0.0336,-0.1167,0.0821,idle
15285,0.0000,-0.0008,0.9957,0.0415,-0.0755,-0.0092,idle
15336,0.0000,-0.0004,0.9923,0.1271,-0.1404,0.1620,idle
15387,0.0000,-0.0003,0.9920,0.0918,-0.1479,0.1677,idle
15438,0.0000,0.0004,0.9943,0.1125,-0.0410,0.1738,idle
15489,0.0000,-0.0001,0.9933,0.0175,-0.0334,0.1069,idle
15540,0.0000,-0.0004,0.9890,-0.0340,0.0140,-0.0214,idle
15591,0.0000,-0.0007,0.9889,-0.1043,0.0885,-0.0523,idle
15642,0.0000,0.0001,0.9892,-0.1223,0.0550,-0.1290,idle
15693,0.0000,-0.0009,0.9920,-0.0772,-0.0054,-0.1033,idle
15744,0.0000,-0.0019,0.9901,-0.0579,-0.1087,-0.0567,idle
15795,0.0000,-0.0006,0.9805,0.0156,-0.0859,0.0171,idle
15846,0.0000,-0.0006,0.9869,0.0927,-0.1456,0.1190,idle
15897,0.0000,-0.0006,0.9897,0.0490,-0.1369,0.0844,idle
15948,0.0000,-0.0007,0.9826,0.0889,-0.0871,0.1041,idle
15999,0.0000,-0.0012,0.9852,0.0597,0.0275,0.0664,idle
16050,0.0000,-0.0003,0.9918,-0.0522,0.0275,-0.1027,idle
16101,0.0000,-0.0005,0.9885,-0.0424,0.0917,-0.1876,idle
16152,0.0000,-0.0011,0.9867,-0.0408,0.1309,-0.1715,idle
16203,0.0000,-0.0010,0.9905,-0.0379,0.0309,-0.0701,idle
16254,0.0000,0.0009,0.9916,-0.0264,-0.0171,-0.0470,idle
16305,0.0000,0.0018,0.9933,0.0713,-0.0234,-0.0056,idle
16356,0.0000,0.0007,0.9954,0.1143,-0.0650,0.0550,idle
16407,0.0000,0.0012,0.9914,0.0908,-0.0419,0.1370,idle
16458,0.0000,0.0008,0.9964,0.0948,0.0347,0.1401,idle
16509,0.0000,0.0015,0.9976,0.0889,0.0898,0.0692,idle
16560,0.0000,0.0014,0.9971,0.0047,0.0744,-0.0317,idle
16611,0.0000,0.0007,1.0017,-0.0091,0.0162,-0.0544,idle
16662,0.0000,0.0014,1.0014,0.0103,0.0857,-0.1032,idle
16713,0.0000,0.0005,0.9988,0.0350,0.0100,-0.0475,idle
16764,0.0000,0.0004,0.9960,0.0685,-0.0185,-0.0503,idle
16815,0.0000,0.0009,0.9940,0.0663,-0.0535,0.0284,idle
16866,0.0000,0.0011,0.9863,0.1104,-0.0739,0.1020,idle
16917,0.0000,0.0019,0.9859,0.0815,-0.1161,0.0968,idle
16968,0.0000,0.0025,0.9878,0.0889,-0.0003,0.0758,idle
17019,0.0000,0.0001,0.9854,0.0689,0.0649,0.0377,idle
17070,0.0000,-0.0008,0.9915,-0.0036,0.0651,-0.0234,idle
17121,0.0000,-0.0015,0.9904,-0.0204,0.1172,-0.0600,idle
17172,0.0000,-0.0022,0.9917,-0.0445,0.0932,-0.0618,idle
17223,0.0000,-0.0003,0.9919,-0.0149,0.0557,0.0054,idle
17274,0.0000,0.0004,0.9951,0.0713,-0.0201,0.0531,idle
17325,0.0000,-0.0007,0.9964,0.0579,-0.0181,0.1142,idle
17376,0.0000,0.0004,0.9989,0.0822,-0.0685,0.1508,idle
17427,0.0000,0.0001,1.0005,0.0742,-0.0202,0.1481,idle
17478,0.0000,0.0000,1.0011,0.0404,0.0871,0.0588,idle
17529,0.0000,0.0006,0.9933,0.0056,0.1134,-0.0126,idle
17580,0.0000,-0.0005,0.9978,0.0130,0.1742,-0.1414,idle
17631,0.0000,0.0002,0.9946,0.0494,0.1022,-0.1086,idle
17682,0.0000,0.0002,0.9965,-0.0009,0.0384,-0.0732,idle
17733,0.0000,0.0004,0.9983,0.0306,0.0302,-0.0816,idle
17784,0.0000,0.0003,1.0031,0.0421,0.0420,-0.0272,idle
17835,0.0000,-0.0008,1.0052,0.0147,-0.0357,0.0087,idle
17886,0.0000,0.0004,1.0004,0.0370,-0.0199,0.0466,idle
17937,0.0000,0.0009,0.9965,0.0106,-0.0317,0.0341,idle
17988,0.0000,0.0007,0.9970,0.0276,0.0046,-0.0063,idle
18039,0.0000,0.0013,0.9979,0.0122,0.0428,-0.0143,idle
18090,0.0000,0.0012,0.9913,-0.0199,0.0948,-0.0940,idle
18141,0.0000,0.0010,0.9909,-0.0151,0.0723,-0.1119,idle
18192,0.0000,0.0013,0.9971,-0.0266,0.0725,-0.0957,idle
18243,0.0000,0.0016,0.9972,0.0452,0.0544,-0.0827,idle
18294,0.0000,0.0009,0.9984,0.0859,0.0613,-0.0693,idle
18345,0.0000,0.0009,0.9991,0.1153,0.0623,-0.0265,idle
18396,0.0000,0.0014,0.9969,0.1282,0.0508,0.0291,idle
18447,0.0000,0.0017,0.9990,0.1263,0.0767,0.0095,idle
18498,0.0000,0.0010,0.9988,0.0942,0.1112,-0.0139,idle
18549,0.0000,0.0021,0.9996,-0.0108,0.0839,-0.0005,idle
18600,0.0000,0.0016,0.9998,-0.0460,0.1353,-0.0493,idle
18651,0.0000,0.0011,1.0003,-0.0543,0.1092,-0.0747,idle
18702,0.0000,0.0001,0.9970,-0.0594,0.0487,-0.0369,idle
18753,0.0000,0.0009,0.9989,0.0113,0.0475,-0.0388,idle
18804,0.0000,0.0021,1.0005,0.0480,0.0680,0.0071,idle
18855,0.0000,0.0028,0.9978,0.1125,0.0615,0.0422,idle
18906,0.0000,0.0028,0.9915,0.0939,0.0304,0.0581,idle
18957,0.0000,0.0028,0.9893,0.0225,0.0192,0.0235,idle
19008,0.0000,0.0034,0.9952,0.0020,0.0056,-0.0209,idle
19059,0.0000,0.0028,1.0007,-0.0434,0.0818,-0.0626,idle
19110,0.0000,0.0016,0.9984,-0.0781,0.0894,-0.1051,idle
19161,0.0000,0.0022,0.9989,-0.0403,0.0908,-0.1422,idle
19212,0.0000,0.0026,1.0033,-0.0406,0.0950,-0.0818,idle
19263,0.0000,0.0024,1.0010,-0.0042,0.0052,-0.0350,idle
19314,0.0000,0.0027,0.9969,0.0738,0.0082,0.0269,idle
19365,0.0000,0.0028,0.9938,0.0782,-0.0260,0.0886,idle
19416,0.0000,0.0020,0.9929,0.0756,-0.0458,0.0693,idle
19467,0.0000,0.0011,0.9857,0.0369,-0.0372,0.0493,idle
